,country,year,World bank region,"World bank, 4 income groups 2017",Adjusted savings: mineral depletion (current US$),Adjusted savings: energy depletion (current US$),Population (Total),Population growth (annual %),Population density (people per sq. km of land area),Rural population (% of total population),Urban population (% of total),Rural population,Urban population,Urban population growth (annual %),Urban population 5 years in the future
11,Afghanistan,1983,South Asia,Low income,0.0,163019872.19358602,12241928.0,-3.15639115314434,18.76934210324579,83.5798,16.4202,10231779.0,2010149.0,-1.632059325320086,1945067
12,Afghanistan,1984,South Asia,Low income,0.0,166011081.628925,11854205.0,-3.21841240630323,18.17488462658878,83.3314,16.6686,9878275.0,1975930.0,-1.71696750797957,2008552
13,Afghanistan,1985,South Asia,Low income,0.0,158235910.845658,11528977.0,-2.78190516770025,17.676244576299773,83.083,16.917,9578620.0,1950357.0,-1.3026740854780172,2130033
14,Afghanistan,1986,South Asia,Low income,0.0,141469866.023004,11262439.0,-2.33903985640474,17.267588120754947,82.83500000000002,17.165,9329241.0,1933198.0,-0.8836806308048013,2319834
15,Afghanistan,1987,South Asia,Low income,0.0,63508370.8458984,11063107.0,-1.78573278303325,16.96197200374101,82.587,17.413,9136688.0,1926419.0,-0.3512787393612804,2573235
16,Afghanistan,1988,South Asia,Low income,0.0,48244210.4193913,11013345.0,-0.45081595790981704,16.885676831792463,82.339,17.660999999999998,9068278.0,1945067.0,0.963358473734924,2863189
17,Afghanistan,1989,South Asia,Low income,0.0,10309185.232296301,11215323.0,1.8173248964628899,17.195349799917203,82.09100000000002,17.909000000000002,9206771.0,2008552.0,3.211764067181172,3149331
18,Afghanistan,1990,South Asia,Low income,0.0,9005471.74906097,11731193.0,4.49703942528469,17.98628244637628,81.843,18.157,9601160.0,2130033.0,5.872340810936763,3401322
19,Afghanistan,1991,South Asia,Low income,0.0,8657435.39596282,12612043.0,7.240078860470231,19.336802968278057,81.6062,18.3938,10292209.0,2319834.0,8.535815883506842,3607448
20,Afghanistan,1992,South Asia,Low income,0.0,6459333.9681436,13811876.0,9.08766506585775,21.176388697238703,81.3694,18.6306,11238641.0,2573235.0,10.366823080909427,3773393
21,Afghanistan,1993,South Asia,Low income,0.0,7491059.86708899,15175325.0,9.41419517332834,23.26683071922481,81.1326,18.8674,12312136.0,2863189.0,10.677217640380396,3916173
22,Afghanistan,1994,South Asia,Low income,0.0,6361394.66933138,16485018.0,8.27812149046478,25.27485396255922,80.89580000000002,19.1042,13335687.0,3149331.0,9.525401072210029,4064291
23,Afghanistan,1995,South Asia,Low income,0.0,6239209.27204454,17586073.0,6.465531355259549,26.962993115925364,80.65899999999998,19.340999999999998,14184751.0,3401322.0,7.697413025011524,4239143
24,Afghanistan,1996,South Asia,Low income,0.0,8145589.58658629,18415307.0,4.60749389726062,28.23437591033838,80.4106,19.5894,14807859.0,3607448.0,5.883641756833793,4449476
25,Afghanistan,1997,South Asia,Low income,0.0,6881750.19065181,19021226.0,3.2373292554631696,29.163371816690432,80.1622,19.8378,15247833.0,3773393.0,4.497399955516968,4685369
26,Afghanistan,1998,South Asia,Low income,0.0,4953499.50173652,19496836.0,2.4696682489788704,29.89257777164497,79.9138,20.0862,15580663.0,3916173.0,3.714030472208126,4938163
27,Afghanistan,1999,South Asia,Low income,0.0,3918962.39443597,19987071.0,2.48334185206468,30.644206798215357,79.6654,20.3346,15922780.0,4064291.0,3.7124410618585015,5193367
28,Afghanistan,2000,South Asia,Low income,0.0,9339938.07813754,20595360.0,2.99801931910418,31.57683639207028,79.417,20.583000000000002,16356217.0,4239143.0,4.212181412940134,5440052
29,Afghanistan,2001,South Asia,Low income,0.0,1205093.59122837,21347782.0,3.5882038983984397,32.73045091455468,79.1572,20.8428,16898306.0,4449476.0,4.842521026293082,5678200
30,Afghanistan,2002,South Asia,Low income,0.0,98353.83854852711,22202806.0,3.92708305971564,34.041374975085475,78.8974,21.1026,17517437.0,4685369.0,5.1658338159471135,5908765
36,Albania,1972,Europe & Central Asia,Upper middle income,4934400.56396745,17083328.4100243,2243126.0,2.49497310670312,81.86591240875913,67.8712,32.1288,1522437.0,720689.0,3.1017720859802136,832788
37,Albania,1973,Europe & Central Asia,Upper middle income,7559482.12573549,26918155.2271961,2296752.0,2.3625522238482497,83.82306569343065,67.6768,32.3232,1554368.0,742384.0,2.965893064050512,855644
38,Albania,1974,Europe & Central Asia,Upper middle income,7656831.77522131,91292181.2633628,2350124.0,2.29721417566909,85.77094890510948,67.4824,32.5176,1585920.0,764204.0,2.8968139715366403,878335
39,Albania,1975,Europe & Central Asia,Upper middle income,6299292.84397604,93663672.53545241,2404831.0,2.3011538096943,87.76755474452554,67.288,32.711999999999996,1618163.0,786668.0,2.8971535034386524,902120
40,Albania,1976,Europe & Central Asia,Upper middle income,9483631.72901287,114008489.588649,2458526.0,2.20823525497527,89.72722627737227,67.078,32.922,1649130.0,809396.0,2.8481986231894387,927573
41,Albania,1977,Europe & Central Asia,Upper middle income,8013558.161076699,129597710.639429,2513546.0,2.21325217885547,91.73525547445257,66.868,33.132,1680758.0,832788.0,2.8490817477785098,954740
42,Albania,1978,Europe & Central Asia,Upper middle income,6131940.65960208,150595942.045737,2566266.0,2.07574189532527,93.65934306569343,66.658,33.342,1710622.0,855644.0,2.707529381089434,982719
43,Albania,1979,Europe & Central Asia,Upper middle income,8926766.69234367,336087383.42053103,2617832.0,1.98945701957156,95.54131386861314,66.44800000000001,33.552,1739497.0,878335.0,2.6173668052821957,1011287
44,Albania,1980,Europe & Central Asia,Upper middle income,11209877.9686151,397724552.544627,2671997.0,2.04796386136191,97.51813868613141,66.238,33.762,1769877.0,902120.0,2.67194790691483,1040127
45,Albania,1981,Europe & Central Asia,Upper middle income,8002377.14977708,242926357.79053998,2726056.0,2.00297430640894,99.49109489051096,65.9738,34.0262,1798483.0,927573.0,2.782394867597296,1068562
46,Albania,1982,Europe & Central Asia,Upper middle income,7617985.3169916,204574935.700682,2784278.0,2.11327178253342,101.61598540145985,65.7096,34.2904,1829538.0,954740.0,2.88675545208336,1098411
47,Albania,1983,Europe & Central Asia,Upper middle income,9358626.55079423,192363753.894019,2843960.0,2.12088533357751,103.79416058394159,65.4454,34.5546,1861241.0,982719.0,2.888416756337663,1127784
48,Albania,1984,Europe & Central Asia,Upper middle income,7021306.14032298,207811627.03680602,2904429.0,2.1039366180201298,106.00105839416058,65.18119999999999,34.8188,1893142.0,1011287.0,2.8655836415988936,1167192
49,Albania,1985,Europe & Central Asia,Upper middle income,7901763.04408291,141942781.96528402,2964762.0,2.05599460887143,108.20299270072992,64.917,35.083,1924635.0,1040127.0,2.8119043980477287,1197222
50,Albania,1986,Europe & Central Asia,Upper middle income,5777606.8412852995,70729694.7607155,3022635.0,1.93322081083734,110.31514598540146,64.648,35.352,1954073.0,1068562.0,2.6970998280313183,1206249
51,Albania,1987,Europe & Central Asia,Upper middle income,8766848.08972137,87076728.1840925,3083605.0,1.99703995612751,112.54032846715329,64.37899999999999,35.621,1985194.0,1098411.0,2.7550770625388057,1215081
52,Albania,1988,Europe & Central Asia,Upper middle income,46875147.1039645,66728277.11502471,3142336.0,1.88671052887888,114.68379562043795,64.11,35.89,2014552.0,1127784.0,2.6390055389615066,1223716
53,Albania,1989,Europe & Central Asia,Upper middle income,51536064.040637605,77555322.85204391,3227943.0,2.68786198874035,117.8081386861314,63.841,36.159,2060751.0,1167192.0,3.434621881561803,1232156
54,Albania,1990,Europe & Central Asia,Upper middle income,19008305.210463896,99283897.0074975,3286542.0,1.79908559333186,119.94678832116787,63.571999999999996,36.428000000000004,2089320.0,1197222.0,2.540300884537125,1240399
55,Albania,1991,Europe & Central Asia,Upper middle income,8156152.58409743,63008889.204046495,3266790.0,-0.602809679480026,119.22591240875911,63.0754,36.9246,2060541.0,1206249.0,0.7511671616445235,1250644
56,Albania,1992,Europe & Central Asia,Upper middle income,2156777.01698982,41750766.145593606,3247039.0,-0.6064347262017591,118.5050729927007,62.5788,37.4212,2031958.0,1215081.0,0.7295196581884011,1260666
57,Albania,1993,Europe & Central Asia,Upper middle income,2694926.3925976004,35590476.688073605,3227287.0,-0.6101657927302471,117.78419708029196,62.0822,37.9178,2003571.0,1223716.0,0.708138978705838,1270465
58,Albania,1994,Europe & Central Asia,Upper middle income,1007498.94925657,30340590.0137301,3207536.0,-0.6138805069296029,117.06335766423356,61.5856,38.4144,1975380.0,1232156.0,0.6873349447775029,1280039
59,Albania,1995,Europe & Central Asia,Upper middle income,1051850.07377461,31744848.072727002,3187784.0,-0.6177036584369631,116.34248175182482,61.089,38.911,1947385.0,1240399.0,0.6667621580392419,1289391
60,Albania,1996,Europe & Central Asia,Upper middle income,2377045.34309059,37070515.0091111,3168033.0,-0.62151139901728,115.62164233576642,60.523,39.477,1917389.0,1250644.0,0.8225516591974791,1310018
61,Albania,1997,Europe & Central Asia,Upper middle income,322489.146542727,25241293.8856599,3148281.0,-0.625430096900055,114.9007664233577,59.957,40.043,1887615.0,1260666.0,0.7981534103031043,1335494
62,Albania,1998,Europe & Central Asia,Upper middle income,1777587.49581302,18019933.925912302,3128530.0,-0.629334392525913,114.17992700729928,59.391000000000005,40.609,1858065.0,1270465.0,0.7742822441969901,1358436
63,Albania,1999,Europe & Central Asia,Upper middle income,466241.75221477705,23147412.2873065,3108778.0,-0.63335227398725,113.45905109489051,58.825,41.175,1828739.0,1280039.0,0.7507571028106355,1380418
64,Albania,2000,Europe & Central Asia,Upper middle income,3502.02096563008,40294012.7246417,3089027.0,-0.6373568339434921,112.73821167883213,58.25899999999999,41.74100000000001,1799636.0,1289391.0,0.7279467661966273,1400715
65,Albania,2001,Europe & Central Asia,Upper middle income,3386.88503147996,32330204.2990206,3064111.0,-0.8098676214821601,111.8288686131387,57.2464,42.7536,1754093.0,1310018.0,1.5870863697347162,1421911
66,Albania,2002,Europe & Central Asia,Upper middle income,3053.24468367594,40342474.3603997,3051427.0,-0.41481283209294806,111.36594890510948,56.2338,43.7662,1715933.0,1335494.0,1.9260383281746456,1441361
72,Algeria,1972,Middle East & North Africa,Upper middle income,6429481.814158901,404218471.247117,15511892.0,2.7030629350621598,6.512840192464332,60.168,39.832,9333195.0,6178697.0,3.1206831926242056,7410987
73,Algeria,1973,Middle East & North Africa,Upper middle income,8602420.23254007,646243752.504644,15935594.0,2.69482680456842,6.690736184470178,60.001999999999995,39.998000000000005,9561675.0,6373919.0,3.110710022318038,7745971
74,Algeria,1974,Middle East & North Africa,Upper middle income,26978180.0550403,2379184723.1790104,16374671.0,2.71804661063533,6.875087541041424,59.836000000000006,40.164,9797948.0,6576723.0,3.1322088927163003,8101456
75,Algeria,1975,Middle East & North Africa,Upper middle income,29710572.620932106,2197636147.4387803,16833516.0,2.76362093230528,7.06773871203406,59.67,40.33,10044559.0,6788957.0,3.1760724558410227,8479893
76,Algeria,1976,Middle East & North Africa,Upper middle income,19319904.1978558,2686279265.14134,17311457.0,2.79966376058842,7.268407550782201,59.0276,40.9724,10218538.0,7092919.0,4.379964092094455,8931614
77,Algeria,1977,Middle East & North Africa,Upper middle income,16842120.6595927,3226638428.06324,17808536.0,2.83093562668534,7.477111691452468,58.3852,41.6148,10397549.0,7410987.0,4.386666637327422,9409830
78,Algeria,1978,Middle East & North Africa,Upper middle income,10840851.3674538,3768218884.8940296,18330535.0,2.8890355638395797,7.696278770982559,57.7428,42.2572,10584564.0,7745971.0,4.420920839930368,9910900
79,Algeria,1979,Middle East & North Africa,Upper middle income,12585223.8514619,9056363063.66028,18884689.0,2.9783239381837303,7.9289464845029265,57.1004,42.8996,10783233.0,8101456.0,4.4870961393413085,10429068
80,Algeria,1980,Middle East & North Africa,Upper middle income,21890073.0869298,9142525261.04247,19475204.0,3.07905787374106,8.176880767842,56.458,43.542,10995311.0,8479893.0,4.565403318851416,10959459
81,Algeria,1981,Middle East & North Africa,Upper middle income,21662745.748212602,7193008438.705491,20103931.0,3.17733014127384,8.440858783914281,55.5728,44.4272,11172317.0,8931614.0,5.189928583913791,11485195
82,Algeria,1982,Middle East & North Africa,Upper middle income,26851639.084446102,6043329308.426539,20766568.0,3.24290178275626,8.719074290224794,54.6876,45.3124,11356738.0,9409830.0,5.215776990792981,12019556
83,Algeria,1983,Middle East & North Africa,Upper middle income,19085924.6615322,5780804645.77822,21453278.0,3.2533068300822903,9.007397113035008,53.8024,46.1976,11542378.0,9910900.0,5.188027402771169,12561599
84,Algeria,1984,Middle East & North Africa,Upper middle income,19239027.5059989,5865150174.39333,22150483.0,3.19818479114932,9.300126378194092,52.9172,47.0828,11721415.0,10429068.0,5.09617458233514,13110972
85,Algeria,1985,Middle East & North Africa,Upper middle income,16705434.2257049,5809597526.0207205,22847437.0,3.09796426246597,9.592750258214583,52.032,47.968,11887978.0,10959459.0,4.9606011589883705,13666952
86,Algeria,1986,Middle East & North Africa,Upper middle income,12639817.105081698,3655669376.40806,23539383.0,2.9835946036307206,9.883271473796466,51.2086,48.7914,12054188.0,11485195.0,4.6855895677062085,14217980
87,Algeria,1987,Middle East & North Africa,Upper middle income,10310759.0315681,3923721424.9399295,24225748.0,2.87411437096802,10.171449444523752,50.3852,49.6148,12206192.0,12019556.0,4.547617532412737,14772553
88,Algeria,1988,Middle East & North Africa,Upper middle income,18411373.9942637,3239945246.42916,24904931.0,2.7649781500280803,10.456611972759413,49.5618,50.4382,12343332.0,12561599.0,4.410947186527708,15326779
89,Algeria,1989,Middle East & North Africa,Upper middle income,21885147.741673604,3817383321.6161,25576596.0,2.66118985892781,10.738617985170505,48.7384,51.2616,12465624.0,13110972.0,4.280497504950805,15875715
90,Algeria,1990,Middle East & North Africa,Upper middle income,17587690.324291598,5366959223.72065,26239708.0,2.5596121382510097,11.01703292550824,47.915,52.085,12572756.0,13666952.0,4.153121896336949,16415780
91,Algeria,1991,Middle East & North Africa,Upper middle income,14248050.161251199,4875538939.31578,26893663.0,2.46168466819908,11.291603197662216,47.1326,52.8674,12675683.0,14217980.0,3.952670497166233,16998338
92,Algeria,1992,Middle East & North Africa,Upper middle income,13824657.5022129,4649374268.35539,27535151.0,2.35727239817709,11.560939061358507,46.3502,53.6498,12762598.0,14772553.0,3.8263571140062975,17573970
93,Algeria,1993,Middle East & North Africa,Upper middle income,9911174.44706516,4674242136.13575,28157560.0,2.23524731794854,11.822264394938154,45.5678,54.4322,12830781.0,15326779.0,3.683062793490346,18144298
94,Algeria,1994,Middle East & North Africa,Upper middle income,7642686.80459183,4070855194.3077703,28752749.0,2.09175002551746,12.072161109105108,44.7854,55.2146,12877034.0,15875715.0,3.518902322092813,18712295
95,Algeria,1995,Middle East & North Africa,Upper middle income,6357171.16638083,4617201178.58829,29315463.0,1.93817441899782,12.308422833726606,44.003,55.997,12899683.0,16415780.0,3.3452484204510933,19281301
96,Algeria,1996,Middle East & North Africa,Upper middle income,7878086.96846624,6204023167.30484,29845208.0,1.79091666843351,12.530842157414328,43.045,56.955,12846870.0,16998338.0,3.4872507231950256,19922642
97,Algeria,1997,Middle East & North Africa,Upper middle income,6978139.75317085,6157509914.00526,30345466.0,1.66228249629071,12.740881036553107,42.086999999999996,57.913000000000004,12771496.0,17573970.0,3.3303255433882573,20569118
98,Algeria,1998,Middle East & North Africa,Upper middle income,16461141.1884045,4545972550.0364895,30820435.0,1.5530828103083403,12.940302048082495,41.129,58.871,12676137.0,18144298.0,3.1937521567788054,21230520
99,Algeria,1999,Middle East & North Africa,Upper middle income,10191291.6751813,5506574005.5156,31276295.0,1.46825183663181,13.131699933661945,40.171,59.82899999999999,12564000.0,18712295.0,3.082444286919261,21920059
100,Algeria,2000,Middle East & North Africa,Upper middle income,14930286.8517096,11568377706.0842,31719449.0,1.40695635015297,13.317763063978436,39.213,60.787,12438148.0,19281301.0,2.9954971716972545,22648187
101,Algeria,2001,Middle East & North Africa,Upper middle income,12943470.5688554,9954599687.202559,32150198.0,1.3488583424315301,13.498617817226062,38.0326,61.9674,12227556.0,19922642.0,3.2721107725001275,23380708
102,Algeria,2002,Middle East & North Africa,Upper middle income,13214861.16206,9283903475.6735,32572977.0,1.30644089467674,13.676126277427429,36.8522,63.1478,12003859.0,20569118.0,3.1933950884051288,24154838
108,American Samoa,1972,East Asia & Pacific,Upper middle income,0.0,0.0,28490.0,2.03531473549118,142.45,28.828000000000007,71.172,8213.0,20277.0,2.5928766164044537,22448
109,American Samoa,1973,East Asia & Pacific,Upper middle income,0.0,0.0,29014.0,1.8225323606893602,145.07,28.434,71.566,8250.0,20764.0,2.3733479178655923,22874
110,American Samoa,1974,East Asia & Pacific,Upper middle income,0.0,0.0,29491.0,1.63066599354823,147.455,28.04000000000001,71.96,8269.0,21222.0,2.1817661486415867,23415
111,American Samoa,1975,East Asia & Pacific,Upper middle income,0.0,0.0,29932.0,1.48430101659192,149.66,27.646,72.354,8275.0,21657.0,2.0290348373735023,24125
112,American Samoa,1976,East Asia & Pacific,Upper middle income,0.0,0.0,30325.0,1.3044312612001698,151.625,27.2508,72.7492,8264.0,22061.0,1.8482615888492413,25121
113,American Samoa,1977,East Asia & Pacific,Upper middle income,0.0,0.0,30690.0,1.1964413801531102,153.45,26.855599999999995,73.1444,8242.0,22448.0,1.7390179646479198,26299
114,American Samoa,1978,East Asia & Pacific,Upper middle income,0.0,0.0,31105.0,1.3431709335338402,155.525,26.46040000000001,73.5396,8231.0,22874.0,1.8799370998919755,27626
115,American Samoa,1979,East Asia & Pacific,Upper middle income,0.0,0.0,31670.0,1.80012825835654,158.35,26.065200000000004,73.9348,8255.0,23415.0,2.3375948276480054,29047
116,American Samoa,1980,East Asia & Pacific,Upper middle income,0.0,0.0,32456.0,2.45154653535978,162.28,25.67,74.33,8331.0,24125.0,2.9871804589544584,30519
117,American Samoa,1981,East Asia & Pacific,Upper middle income,0.0,0.0,33488.0,3.1301839799497597,167.44,24.9836,75.0164,8367.0,25121.0,4.045550249979174,32014
118,American Samoa,1982,East Asia & Pacific,Upper middle income,0.0,0.0,34740.0,3.67045951093149,173.7,24.297200000000004,75.7028,8441.0,26299.0,4.582676592230364,33549
119,American Samoa,1983,East Asia & Pacific,Upper middle income,0.0,0.0,36165.0,4.0200039488285,180.825,23.6108,76.3892,8539.0,27626.0,4.922644263062296,35095
120,American Samoa,1984,East Asia & Pacific,Upper middle income,0.0,0.0,37687.0,4.1223407099811205,188.435,22.92440000000001,77.0756,8640.0,29047.0,5.015784946366324,36614
121,American Samoa,1985,East Asia & Pacific,Upper middle income,0.0,0.0,39247.0,4.05598007851835,196.235,22.238000000000003,77.762,8728.0,30519.0,4.943423273828955,38081
122,American Samoa,1986,East Asia & Pacific,Upper middle income,0.0,0.0,40835.0,3.9664548624000604,204.175,21.60080000000001,78.3992,8821.0,32014.0,4.7823866644784845,39581
123,American Samoa,1987,East Asia & Pacific,Upper middle income,0.0,0.0,42448.0,3.87402405851449,212.24,20.9636,79.0364,8899.0,33549.0,4.683374958965522,41007
124,American Samoa,1988,East Asia & Pacific,Upper middle income,0.0,0.0,44049.0,3.70228532535263,220.245,20.326400000000007,79.6736,8954.0,35095.0,4.505161346822376,42379
125,American Samoa,1989,East Asia & Pacific,Upper middle income,0.0,0.0,45591.0,3.44076779706675,227.955,19.6892,80.3108,8977.0,36614.0,4.237201074643811,43732
126,American Samoa,1990,East Asia & Pacific,Upper middle income,0.0,0.0,47044.0,3.13730053692123,235.22,19.052000000000007,80.94800000000001,8963.0,38081.0,3.9284789153742277,45091
127,American Samoa,1991,East Asia & Pacific,Upper middle income,0.0,0.0,48379.0,2.7982501281247503,241.895,18.185599999999994,81.8144,8798.0,39581.0,3.863373505819015,46364
128,American Samoa,1992,East Asia & Pacific,Upper middle income,0.0,0.0,49597.0,2.4864512760653303,247.985,17.319199999999995,82.6808,8590.0,41007.0,3.5393578697870183,47621
129,American Samoa,1993,East Asia & Pacific,Upper middle income,0.0,0.0,50725.0,2.24885376811874,253.625,16.452799999999996,83.5472,8346.0,42379.0,3.291017268727056,48840
130,American Samoa,1994,East Asia & Pacific,Upper middle income,0.0,0.0,51807.0,2.11063895587642,259.035,15.586399999999998,84.4136,8075.0,43732.0,3.1427143046342088,49995
131,American Samoa,1995,East Asia & Pacific,Upper middle income,0.0,0.0,52874.0,2.03864493874044,264.37,14.72,85.28,7783.0,45091.0,3.0602570481318483,51060
132,American Samoa,1996,East Asia & Pacific,Upper middle income,0.0,0.0,53926.0,1.97010117196854,269.63,14.022800000000005,85.9772,7562.0,46364.0,2.784062597294166,51933
133,American Samoa,1997,East Asia & Pacific,Upper middle income,0.0,0.0,54942.0,1.86653469759177,274.71,13.325599999999996,86.6744,7321.0,47621.0,2.6750544391738518,52723
134,American Samoa,1998,East Asia & Pacific,Upper middle income,0.0,0.0,55899.0,1.7268407559735302,279.495,12.6284,87.3716,7059.0,48840.0,2.5275808824266983,53369
135,American Samoa,1999,East Asia & Pacific,Upper middle income,0.0,0.0,56768.0,1.5426295773729097,283.84,11.931200000000004,88.0688,6773.0,49995.0,2.3373351185308797,53798
136,American Samoa,2000,East Asia & Pacific,Upper middle income,0.0,0.0,57522.0,1.31946966358002,287.61,11.233999999999995,88.766,6462.0,51060.0,2.1078411385525166,53964
137,American Samoa,2001,East Asia & Pacific,Upper middle income,0.0,0.0,58176.0,1.1305415232099298,290.88,10.730599999999997,89.2694,6243.0,51933.0,1.6953014449364374,53738
138,American Samoa,2002,East Asia & Pacific,Upper middle income,0.0,0.0,58729.0,0.946074376140603,293.645,10.227199999999996,89.7728,6006.0,52723.0,1.5097366713162683,53263
144,Andorra,1972,Europe & Central Asia,High income,0.0,0.0,26892.0,5.0800215097456105,57.217021276595744,17.006200000000007,82.9938,4573.0,22319.0,6.808438539723769,29222
145,Andorra,1973,Europe & Central Asia,High income,0.0,0.0,28231.0,4.85918203397541,60.06595744680851,15.586799999999995,84.4132,4400.0,23831.0,6.5548920499178776,30418
146,Andorra,1974,Europe & Central Asia,High income,0.0,0.0,29514.0,4.44440620947133,62.79574468085106,14.1674,85.8326,4181.0,25333.0,6.112063949569173,31721
147,Andorra,1975,Europe & Central Asia,High income,0.0,0.0,30706.0,3.9593348195449596,65.33191489361703,12.748000000000005,87.25200000000001,3914.0,26792.0,5.599544185498479,33201
148,Andorra,1976,Europe & Central Asia,High income,0.0,0.0,31781.0,3.44105517078338,67.61914893617022,11.785600000000002,88.2144,3746.0,28035.0,4.535039408373231,34758
149,Andorra,1977,Europe & Central Asia,High income,0.0,0.0,32769.0,3.0614319584974505,69.72127659574468,10.8232,89.1768,3547.0,29222.0,4.146812067425676,36492
150,Andorra,1978,Europe & Central Asia,High income,0.0,0.0,33746.0,2.9378945246630095,71.8,9.860799999999998,90.1392,3328.0,30418.0,4.011268820028433,38378
151,Andorra,1979,Europe & Central Asia,High income,0.0,0.0,34819.0,3.1301323024556695,74.08297872340424,8.898399999999993,91.1016,3098.0,31721.0,4.1944383670738965,40372
152,Andorra,1980,Europe & Central Asia,High income,0.0,0.0,36063.0,3.5104194189524502,76.72978723404255,7.936000000000008,92.064,2862.0,33201.0,4.560107382984188,42438
153,Andorra,1981,Europe & Central Asia,High income,0.0,0.0,37502.0,3.9126855897299904,79.79148936170213,7.316999999999991,92.68299999999999,2744.0,34758.0,4.582976539178413,44222
154,Andorra,1982,Europe & Central Asia,High income,0.0,0.0,39112.0,4.20350603888175,83.21702127659573,6.6979999999999915,93.302,2620.0,36492.0,4.868329714068573,46026
155,Andorra,1983,Europe & Central Asia,High income,0.0,0.0,40862.0,4.37712105412758,86.9404255319149,6.0789999999999935,93.921,2484.0,38378.0,5.039132026432281,47854
156,Andorra,1984,Europe & Central Asia,High income,0.0,0.0,42704.0,4.409205684454809,90.8595744680851,5.459999999999994,94.54,2332.0,40372.0,5.065209662906239,49722
157,Andorra,1985,Europe & Central Asia,High income,0.0,0.0,44597.0,4.33739995274962,94.8872340425532,4.840999999999994,95.15899999999999,2159.0,42438.0,4.990771190529487,51628
158,Andorra,1986,Europe & Central Asia,High income,0.0,0.0,46515.0,4.21082490308574,98.96808510638296,4.930400000000006,95.0696,2293.0,44222.0,4.117821552805631,53558
159,Andorra,1987,Europe & Central Asia,High income,0.0,0.0,48458.0,4.09226021647152,103.10212765957445,5.0198000000000045,94.9802,2432.0,46026.0,3.998405139525007,55542
160,Andorra,1988,Europe & Central Asia,High income,0.0,0.0,50431.0,3.9908621973382803,107.3,5.109200000000001,94.8908,2577.0,47854.0,3.894825476627118,57392
161,Andorra,1989,Europe & Central Asia,High income,0.0,0.0,52449.0,3.9235203525001494,111.59361702127659,5.198599999999999,94.8014,2727.0,49722.0,3.829278212347506,58864
162,Andorra,1990,Europe & Central Asia,High income,0.0,0.0,54511.0,3.85612472820469,115.9808510638298,5.287999999999997,94.712,2883.0,51628.0,3.7616669877980935,59806
163,Andorra,1991,Europe & Central Asia,High income,0.0,0.0,56674.0,3.89130356082097,120.58297872340424,5.498199999999998,94.5018,3116.0,53558.0,3.670101785334969,60037
164,Andorra,1992,Europe & Central Asia,High income,0.0,0.0,58904.0,3.8593448292537897,125.32765957446807,5.7083999999999975,94.2916,3362.0,55542.0,3.637431248683844,59703
165,Andorra,1993,Europe & Central Asia,High income,0.0,0.0,61003.0,3.50140432254517,129.7936170212766,5.918599999999998,94.0814,3611.0,57392.0,3.276542947679755,59270
166,Andorra,1994,Europe & Central Asia,High income,0.0,0.0,62707.0,2.7550040858642,133.41914893617022,6.128799999999997,93.8712,3843.0,58864.0,2.532477757249179,59373
